City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
600,Ranong,TH,76.89,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
601,Kattivakkam,IN,79.07,overcast clouds,13.2167,80.3167,Euronova Freezer
602,Talcher,IN,70.86,clear sky,20.95,85.2167,Hotel Green Park
606,Asosa,ET,73.72,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
608,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
610,Ilebo,CD,67.98,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
611,Berbera,SO,76.93,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
613,Ghanzi,BW,79.59,scattered clouds,-21.5667,21.7833,Ghanzi Farmhouse
614,Bull Savanna,JM,81.03,clear sky,17.8868,-77.5902,Big Red's
615,Arlit,NE,72.86,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
617,Antalaha,MG,78.51,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
619,Hokitika,NZ,65.59,moderate rain,-42.7167,170.9667,Beachfront Hotel Hokitika
621,Porto Novo,BJ,85.82,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
622,Natal,BR,90.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
624,Antofagasta,CL,73.22,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
626,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
627,Mabaruma,GY,79.86,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
629,Okato,NZ,63.68,few clouds,-39.2,173.8833,Goodin Country Garden
632,Lhokseumawe,ID,77.43,scattered clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
633,Binga,ZW,77.11,clear sky,-17.6203,27.3414,Lakeview Inn Binga
634,Matara,LK,74.8,clear sky,5.9485,80.5353,Amaloh Boutique Resort
635,Coihaique,CL,67.95,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
636,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
637,Kirakira,SB,78.93,overcast clouds,-10.4544,161.9205,SanBiz Lodge
638,Hurghada,EG,64.54,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
642,Pimentel,PE,77.29,clear sky,-6.8367,-79.9342,Casona Del Muelle
646,Kaohsiung,TW,63.03,broken clouds,22.6163,120.3133,御宿商旅-中山館
