City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
221,Hobyo,SO,5.3505,48.5268,78.46,66,9,21.09,clear sky
222,Aklavik,CA,68.2191,-135.0107,-24.23,98,99,3.89,overcast clouds
223,Komsomolskiy,UZ,40.4272,71.7189,38.62,75,2,2.3,mist
224,Sangar,RU,63.9242,127.4739,-24.88,98,100,3.15,overcast clouds
225,Los Llanos De Aridane,ES,28.6585,-17.9182,69.12,62,20,5.01,few clouds
226,Sarkand,KZ,45.41,79.9186,19.08,78,100,5.64,overcast clouds
227,Sidney,AU,-33.8679,151.2073,64.29,77,20,15.01,few clouds
228,Lucapa,AO,-8.4192,20.7447,65.46,98,100,5.17,light rain
229,Marsh Harbour,BS,26.5412,-77.0636,73.49,64,92,19.42,overcast clouds
230,Nelson Bay,AU,-32.7167,152.15,68.09,80,98,3.0,overcast clouds
231,Te Anau,NZ,-45.4167,167.7167,49.03,95,100,3.6,overcast clouds
232,Makakilo City,US,21.3469,-158.0858,70.68,80,0,4.61,clear sky
233,Cherskiy,RU,68.75,161.3,-25.89,96,5,2.64,clear sky
234,Tomatlan,MX,19.9333,-105.25,67.14,46,4,1.16,clear sky
235,Jizan,SA,17.3333,42.6667,84.02,61,14,9.26,few clouds
236,Mount Isa,AU,-20.7333,139.5,76.77,47,100,16.11,overcast clouds
237,Rathdrum,US,47.8137,-116.892,22.23,88,100,10.36,overcast clouds
238,Vilyuysk,RU,63.7553,121.6247,-27.09,100,72,4.14,broken clouds
239,Henties Bay,NA,-22.116,14.2845,74.86,68,1,13.35,clear sky
240,Nhulunbuy,AU,-12.2333,136.7667,83.01,78,75,10.36,broken clouds
241,Griffith,US,41.5284,-87.4237,25.9,74,100,5.01,overcast clouds
242,Katsuura,JP,35.1333,140.3,46.42,55,100,17.36,overcast clouds
243,College,US,64.8569,-147.8028,-2.54,68,0,6.91,clear sky
244,Asau,RO,46.4333,26.4,33.76,81,100,2.01,overcast clouds
245,Dalbandin,PK,28.8947,64.4101,55.51,23,0,4.85,clear sky
246,Myitkyina,MM,25.3833,97.4,55.85,73,9,3.33,clear sky
247,Basoko,CD,1.2391,23.616,90.75,36,100,3.27,overcast clouds
248,Altay,CN,47.8667,88.1167,4.5,72,2,7.43,clear sky
249,Tuatapere,NZ,-46.1333,167.6833,53.82,79,100,2.84,heavy intensity rain
250,Mayo,US,38.8876,-76.5119,47.28,96,100,1.99,light rain
251,Lagoa,PT,39.05,-27.9833,57.56,73,99,10.0,overcast clouds
